Frase,Categoria
"Assim como eu choro, também sorrio. Assim como eu caio, eu me levanto. Assim como eu amo, eu também esqueço. ",Frases de Amor
As mais lindas frases de amor são ditas no silêncio de um olhar. ,Frases de Amor
O amor está em quem ama e não em quem é amado. (Platão) ,Frases de Amor
Não me lembro mais qual foi nosso começo. Sei que não começamos pelo começo. Já era amor antes de ser. (Clarice Lispector) ,Frases de Amor
"Para os erros, perdão. Para os fracassos, uma nova chance. Para os amores impossíveis, o tempo. ",Frases de Amor
"Antes a inquietação de um amor, do que a paz de um coração vazio. (Caio Fernando Abreu) ",Frases de Amor
"Quando alguém disser que te ama, duvide. Quando alguém provar que te ama, valorize. ",Frases de Amor
"Ame o que você tem, antes que a vida lhe ensine a amar o que você tinha. ",Frases de Amor
"É necessário um minuto para sentir afeto por uma pessoa, uma hora para gostar dela e um dia para amá-la, mas é preciso uma vida inteira para esquecê-la. ",Frases de Amor
Frases de amor serão apenas frases se as suas atitudes não estiverem de acordo. ,Frases de Amor
O primeiro suspiro de amor sempre é acompanhado pelo último suspiro da razão. ,Frases de Amor
Nunca julgue um amor futuro pelo sofrimento de um passado. ,Frases de Amor
Amor verdadeiro é aquele que o vento não leva e a distância não separa. ,Frases de Amor
"O amor é de todas as paixões a mais forte, pois ele ataca simultaneamente a cabeça, o coração e o sentido. (Lao Tzu) ",Frases de Amor
"Antes de sair por aí dizendo que ama alguém, tenha certeza de que você sabe o que é amor, pois o amor não sufoca, domina nem controla. O amor é, em sua plenitude, apenas amar. (Jufras Menhal) ",Frases de Amor
"O verdadeiro amor nunca morre, ele apenas dorme para acordar ainda mais belo. ",Frases de Amor
"No amor, o silêncio é a palavra que precede o beijo. (Henrique de Shivas) ",Frases de Amor
O amor é a única loucura de um sábio e a única sabedoria de um tolo. (William Shakespeare) ,Frases de Amor
"Lutar pelo amor é bom, mas alcançá-lo sem luta é melhor. (William Shakespeare) ",Frases de Amor
"O amor não se compra, se conquista. ",Frases de Amor
"É possível morrer por amor, mas é muito melhor viver para amar. ",Frases de Amor
"Não importa se serão momentos bons ou ruins, mas se forem ao seu lado, cada segundo valerá a pena. ",Frases de Amor
"O amor não é eterno, eterna é a capacidade de amar. ",Frases de Amor
"Ah o amor ... que nasce não sei onde, vem não sei como e dói não sei porque. (Luís de Camões) ",Frases de Amor
"O amor é um sentimento sublime, que supera os problemas e diferenças, resiste ao tempo e se fortalece com a distância. ",Frases de Amor
O amor profundo e verdadeiro cultiva-se no silêncio. ,Frases de Amor
O verdadeiro amor é aquele que suporta a ausência e sobrevive na saudade. ,Frases de Amor
A maior prova de amor é a confiança. (Joyce Brothers) ,Frases de Amor
O amor nunca se arrepende do bem que realiza em favor dos outros. (Frei Anselmo) ,Frases de Amor
"Às vezes é preciso que você se afaste das pessoas que mais gosta. Mas isso não quer dizer que você as ama menos. Às vezes, você ama ainda mais. (Nicholas Sparks) ",Frases de Amor
"O amor nasce de um beijo, cresce de um sorriso, alimenta-se de um carinho e ressuscita de um perdão. ",Frases de Amor
O amor não se conjuga no passado. Ou se ama para sempre ou nunca se amou verdadeiramente. ,Frases de Amor
É tão bom morrer de amor e continuar vivendo. (Mario Quintana) ,Frases de Amor
"Quando duas pessoas se amam, elas não se dominam nem se submetem, apenas se completam. ",Frases de Amor
"Eu enfrentaria o mundo todo com uma só mão, se você me prometesse que estaria segurando a outra. ",Frases de Amor
O Amor é o mais generoso dos sentimentos. É o único que inclui em seus sonhos a felicidade de outra pessoa. ,Frases de Amor
O amor não faz o mundo girar. O amor é o que faz o giro valer a pena. (Franklin P. Jones) ,Frases de Amor
"Não quero ser na tua vida o início do fim, nem o fim de um começo, mas o início de um começo sem fim. ",Frases de Amor
"O tempo apaga as feridas, mas não um grande amor. A distância separa dois corpos, mas não duas almas. ",Frases de Amor
"A distância faz ao amor aquilo que o vento faz ao fogo. Apaga o pequeno, mas inflama o grande. ",Frases de Amor
"O nosso amor é como o vento, você não pode vê-lo, mas eu posso senti-lo. ",Frases de Amor
Mesmo o amor que não compensa é melhor que a solidão. (Como dizia o poeta - Vinicius de Moraes) ,Frases de Amor
"O amor é o nosso estado natural quando não optamos pela dor, pelo medo ou pela culpa. (Willis Harman e Howard Rheingold) ",Frases de Amor
Muita gente falando de amor e pouca gente sabendo amar. ,Frases de Amor
"Quem ama extremamente, deixa de viver em si e vive no que ama. (Platão) ",Frases de Amor
"Se te faz sorrir, é porque te faz bem. Se te faz bem, não deixe escapar. ",Frases de Amor
"Nunca chore por amor, pois quem realmente merecer suas lágrimas nunca lhe fará chorar! ",Frases de Amor
"Amor é como o fogo, para que ele dure é preciso alimentá-lo. ",Frases de Amor
"Respeito é ganho, honestidade é apreciada, amor é adquirido e lealdade é retribuída. ",Frases para Facebook
As pessoas são como músicas. Algumas falam a verdade e outras só fazem barulho. ,Frases para Facebook
"Às vezes eu finjo ser normal, mas aí fica chato e eu volto a ser eu mesmo. ",Frases para Facebook
A simplicidade é o último grau de sofisticação. (Leonardo da Vinci) ,Frases para Facebook
"Todo mundo quer sinceridade, mas nem todo mundo aguenta ouvir a verdade. ",Frases para Facebook
"Só teremos um país de verdade no dia em que gastarmos mais com escolas do que com televisão, isto é, no dia em que gastarmos mais com a educação do que com a falta de educação. (Millôr Fernandes) ",Frases para Facebook
"De todas as coisas que estão entrando em extinção, a que mais me preocupa é o caráter. (Jufras Menhal) ",Frases para Facebook
"Quando a coragem deixa a inteligência de lado, o fracasso sorri. (Jufras Menhal) ",Frases para Facebook
"Por mais longa que seja a caminhada, o mais importante é dar o primeiro passo. (Vinícius de Moraes) ",Frases para Facebook
A sua consciência tem um peso maior do que a opinião de qualquer pessoa. ,Frases para Facebook
"Saber lidar com a derrota não é ser fraco, é ser humilde. ",Frases para Facebook
"Lembre-se: De tropeços, vitórias e quedas é que se constrói a experiência. ",Frases para Facebook
Nunca perca seu lado criança. Uma fruta madura demais apodrece. ,Frases para Facebook
"Falar de boca cheia é feio, mas falar de cabeça vazia é bem pior. ",Frases para Facebook
"Se a pressa é inimiga da perfeição, por que é que os momentos perfeitos passam tão depressa? ",Frases para Facebook
"Perdoe. Perdoar faz bem. Só tenha certeza que a outra pessoa não entenderá seu perdão como ""Tudo bem se eu fizer de novo"". (Jufras Menhal) ",Frases para Facebook
As coisas sempre têm um lado bom e um lado ruim. Cabe a você escolher para qual deles irá olhar. ,Frases para Facebook
Pessoas perfeitas não existem. Somos apenas seres humanos procurando por alguém que aceite nossas imperfeições. ,Frases para Facebook
"As coisas mudam pra melhor ou pra pior. E, na maioria das vezes, isso depende apenas de você. ",Frases para Facebook
"Se a aparência explicasse a essência, o sabor seria desnecessário. ",Frases para Facebook
"Conjugando o verbo Facebook: Eu posto, Tu comenta, Ele curte, Nós compartilhamos, Vós publicais, Eles riem, Ninguém trabalha. ",Frases para Facebook
Não viva somente do que faz sentido. Viva do que te faz feliz. ,Frases para Facebook
Só desiste da luta quem desconhece o sabor da vitória! ,Frases para Facebook
O coração não costuma consultar o cérebro antes de fazer suas escolhas. (Jufras Menhal) ,Frases para Facebook
"Antes de emprestar dinheiro a alguém, verifique de qual dos dois que você gosta mais. ",Frases para Facebook
A maioria das pessoas só começam a viver a vida quando ela já está marcada para acabar. ,Frases para Facebook
Confiança: anos para ganhar e segundos para perder. ,Frases para Facebook
"Erga a cabeça, continue, tenha fé. Se aconteceu, foi pra você aprender alguma coisa. Se não aconteceu, foi algum livramento para você. ",Frases para Facebook
Nada se obtém sem esforço ... e tudo se pode conseguir com ele. (Ralph Waldo Emerson) ,Frases para Facebook
"Mesmo sozinho, o Sol nunca deixou de brilhar. Faça o mesmo. ",Frases para Facebook
Deus: o único que te escuta quando ninguém mais quer ouvir sua voz. ,Frases para Facebook
"O êxito consiste em alcançar o que se deseja. A felicidade, em desejar o que se alcança. ",Frases para Facebook
"Quanto mais você suar no treino, menos irá sangrar na batalha. ",Frases para Facebook
"Durma com ideias, acorde com atitudes. ",Frases para Facebook
"Antes de você falar, ouça. Antes de agir, pense. Antes de criticar, conheça. E antes de desistir, tente. ",Frases para Facebook
"Não se mede o valor de um homem pelos bens que possui, mas sim pleo seu caráter, suas ideias e a nobreza dos seus ideais. ",Frases para Facebook
"Se você apagasse todos os erros do seu passado, você apagaria toda sabedoria do seu presente. ",Frases para Facebook
"Se o plano ""A"" não deu certo, não se preocupe, o alfabeto tem mais 25 letras para você tentar. ",Frases para Facebook
"Eu só sou responsável pelo que eu falo, não pelo o que você entende. ",Frases para Facebook
"Por mais que você se esforce, algumas pessoas só conseguem ver o seu pior. ",Frases para Facebook
"Quem nunca enfrentou a dificuldade, não conhece o sabor da vitória. ",Frases para Facebook
Ninguém pode ser completamente livre até que todos os sejam. (Herbert Spencer) ,Frases para Facebook
Um humano sem opinião é um humano inexistente. ,Frases para Facebook
"Antes de fazer tudo por uma pessoa, descubra se ela faria tudo por você. ",Frases para Facebook
Às vezes a melhor maneira de chamar a atenção de alguém é parar de dar atenção. (Caio Fernando Abreu) ,Frases para Facebook
"Faça o que puder, com o que tiver, onde estiver. (Theodore Roosevelt) ",Frases para Facebook
A infelicidade tem isto de bom: faz-nos conhecer os verdadeiros amigos. (Honoré de Balzac) ,Frases para Facebook
Todo homem vale mais do que o seu erro. ,Frases para Facebook
“Vou estar sempre contigo” - Disse a pessoa que hoje nem olha mais na sua cara. ,Frases para Facebook
"Nunca se ache demais. Pois tudo que é demais, sobra. Tudo que é sobra, é resto. E tudo que é resto vai para o lixo. ",Frases para Facebook
Humilhar o outro é a defesa de um homem ignorante pela necessidade de se sentir superior. ,Frases para Facebook
Felicidade é saber aproveitar todos os momentos como se fossem os últimos. ,Frases para Facebook
"O que vale na vida não é o ponto de partida e sim a caminhada. Caminhando e semeando, no fim terás o que colher. (Cora Coralina) ",Frases para Facebook
Palavras bonitas se tornam feias na boca de pessoas mentirosas. ,Frases para Facebook
Quem conhece um sorriso de verdade sabe que nem todo palhaço é feliz. ,Frases para Facebook
A felicidade é um bem que se multiplica ao ser dividido. (Marxwell Maltz) ,Frases para Facebook
"Nenhuma espera é eterna, só procure saber se você anda esperando a coisa certa. ",Frases para Facebook
"Coisas frágeis quebram, mas também cortam. ",Frases para Facebook
Compra-se o que tem preço. O que tem valor conquista-se! ,Frases Bonitas
Esqueça os piores momentos da sua vida e faça os melhores se tornarem inesquecíveis. ,Frases Bonitas
"Existem pessoas que nos inspiram e outras que nos fazem bem. E tem aquelas que sem pedir licença, tocam a nossa alma. ",Frases Bonitas
"Se e o sorriso é sincero, o bem já aconteceu. (Jufras Menhal) ",Frases Bonitas
O ser humano é feito de erros e a vida de acertos. ,Frases Bonitas
"Evoluir é reconhecer nossos erros. Não para concertá-los, mas para não repetí-los. (Amanda Chakur) ",Frases Bonitas
Tenho um lado irônico. Tenho um lado insuportável. Tenho um lado amável. E cada um tem o meu lado que merece. ,Frases Bonitas
"Melhor do que ter uma grande beleza, é ter um grande coração. (Leonardo da Vinci) ",Frases Bonitas
Existem dois tipos de pessoas: as que te fazem perder tempo e as que te fazem perder a noção do tempo. ,Frases Bonitas
Nós não recebemos uma vida boa ou ruim. Nós recebemos a vida. Depende de nós torná-la boa ou ruim. ,Frases Bonitas
O sorriso é um abraço que se dá de longe. ,Frases Bonitas
O exercício do silêncio é tão importante quanto a prática da palavra. (William James) ,Frases Bonitas
"Quando a coragem deixa a inteligência de lado, o fracasso sorri. (Jufras Menhal) ",Frases Bonitas
"Lamentar uma dor passada, no presente, é criar outra dor e sofrer novamente. (William Shakespeare) ",Frases Bonitas
Alguns falam pra você ficar bem. Outros simplesmente te fazem ficar bem. ,Frases Bonitas
Duvide do que vem fácil. E não desista do que é difícil. ,Frases Bonitas
"A cada dia que vivo, mais me convenço de que o desperdício da vida está no amor que não damos, nas forças que não usamos, na prudência egoísta que nada arrisca e que, esquivando-nos do sofrimento, perdemos também a felicidade. (Carlos Drummond de Andrade) ",Frases Bonitas
Nunca subestime a capacidade das ironias do destino. ,Frases Bonitas
"Duvide da palavra de um homem, mas nunca de um homem de palavra. ",Frases Bonitas
Fique tranquilo! Amanhã você vai achar um jeito de sorrir daquilo que hoje te fez chorar. ,Frases Bonitas
O pior dos traidores é aquele que trai seus ideais. ,Frases Bonitas
Erros podem ser perdoados. Atitudes podem ser repensadas. Mas algumas palavras poderão nunca ser esquecidas. ,Frases Bonitas
"Nada melhor do que derrubar com um sorriso, quem um dia te machucou com uma lágrima. ",Frases Bonitas
"Muitos dizem o que pensam, mas poucos dizem o que sentem. ",Frases Bonitas
"Quem tem luz própria, incomoda quem está no escuro. ",Frases Bonitas
"O destino não é uma questão de sorte, é uma questão de escolha. Não é algo para se esperar, é algo para se conquistar. ",Frases Bonitas
"Siga o seu coração, mas leve seu cérebro com você. ",Frases Bonitas
Veja o lado bom das coisas. Você já parou pra pensar o que seriam das oportunidades se não fossem as mudanças? (Jufras Menhal) ,Frases Bonitas
Descobri que eu não preciso de certas pessoas. Eu só preciso das pessoas certas. ,Frases Bonitas
Alto deve ser o valor do seu caráter e não o tom da sua voz. ,Frases Bonitas
Para cada minuto que você se aborrece você perde sessenta segundos de felicidade. ,Frases Bonitas
"A vida é feita de escolhas. Quando você dá um passo à frente, inevitavelmente alguma coisa fica para trás. (Caio Fernando de Abreu) ",Frases Bonitas
"Você pode esconder muitas coisas atrás de um sorriso, mas nunca de um olhar. ",Frases Bonitas
"O melhor amigo é aquele com quem nos sentamos por longas horas, sem dizer uma palavra, e ao deixa-lo, temos a impressão de que foi a melhor conversa que já tivemos. ",Frases Bonitas
"Quando a porta da felicidade se fecha, outra porta se abre. Porém, estamos tão presos àquela porta fechada que não somos capazes de ver o novo caminho que se abriu. ",Frases Bonitas
"Viva de maneira que sua presença não seja notada, mas que sua ausência seja sentida. ",Frases Bonitas
Voltar atrás é melhor que perder-se no caminho. (Ditado russo) ,Frases Bonitas
Não há arauto mais perfeito da alegria do que o silêncio. (William Shakespeare) ,Frases Bonitas
Não há satisfação maior do que aquela que sentimos quando proporcionamos alegria aos outros. ,Frases Bonitas
Uma alegria tumultuosa anuncia uma felicidade medíocre e breve. (Plutarco) ,Frases Bonitas
"Faça o que for necessário para ser feliz. Mas não se esqueça que a felicidade é um sentimento simples, você pode encontrá-la e deixá-la ir embora por não perceber sua simplicidade. (Mario Quintana) ",Frases Bonitas
"Por detrás da Alegria e do Riso, pode haver uma natureza vulgar, dura e insensível. Mas, por detrás do Sofrimento, há sempre Sofrimento. Ao contrário do prazer , a dor não tem máscara. (Oscar Wilde) ",Frases Bonitas
O mal não pode vencer o mal. Só o bem pode fazê-lo. (Léon Tolstoi) ,Frases Bonitas
O amor é a primeira condição da felicidade do homem. (Camilo Castelo Branco) ,Frases Bonitas
"Quando você nasceu, você estava chorando e todas as pessoas ao seu redor estavam sorrindo. Viva de um modo que, ao morrer, você seja aquele que esteja sorrindo enquanto todos a sua volta estejam chorando. ",Frases Bonitas
"Não busque boas aparências, elas podem mudar. Só precisamos de um sorriso para transformarmos um dia ruim. ",Frases Bonitas
São nos momentos de ausência que vemos o quanto nos faz falta aquele carinho que antes pouco importava. (Carla Gabrielle) ,Frases Bonitas
"A morte não é o fim, simplesmente é o início de uma vida sem a pessoa que perdemos. ",Frases Bonitas
"A nossa felicidade depende mais do que temos nas nossas cabeças, do que nos nossos bolsos. (Arthur Shopenhauer) ",Frases Bonitas
"O que mais preocupa não é nem o grito dos violentos, dos corruptos, dos desonestos, dos sem-caráter, dos sem-ética. O que mais preocupa é o silêncio dos bons. (Martin Luther King) ",Frases Bonitas
"Podemos escolher o que semear, mas somos obrigados a colher aquilo o que plantamos. ",Frases Bonitas
As pessoas mais felizes não têm as melhores coisas. Elas sabem fazer o melhor das oportunidades que aparecem em seus caminhos. (Clarice Lispector) ,Frases Bonitas
Não há solidão mais triste do que a do homem sem amizades. A falta de amigos faz com que o mundo pareça um deserto. (Francis Bacon) ,Frases Bonitas
Não existe um caminho para a felicidade. A felicidade é o caminho. (Mahatma Gandhi) ,Frases Bonitas
"Não há nada impossível, porque os sonhos de ontem são as esperanças de hoje e podem converter-se em realidade amanhã. ",Frases Bonitas
"Aquele que desperdiça o dia de hoje, lamentando o de ontem, desperdiçará o de amanhã, lamentando o de hoje. (P. Raskin) ",Frases Bonitas
"Ver a vida, as pessoas, as formas... é um detalhe. Mas, Viver de bem com a vida, amando as pessoas, de todas as formas, é um detalhe que faz toda diferença! ",Frases Bonitas
"Que Deus nos dê a sabedoria para descobrir o correto, a vontade para elegê-lo e a força para fazer que seja duradouro. ",Frases Bonitas
Os sonhos nunca desaparecem sempre que as pessoas não os abandonem. ,Frases Bonitas
"Viva de maneira que sua presença não seja notada, mas que sua ausência seja sentida. ",Frases Bonitas
Tudo que é bom dura o tempo necessário para ser inesquecível. ,Frases Bonitas
"Sem a consciência limpa, a liberdade é uma utopia. (Jufras Menhal) ",Frases Bonitas
 Por um mundo onde as pessoas torrem as minhas calorias e não a minha paciência. ,Frases Engraçadas
"Se quem ama cuida, muita gente deve me amar. Porque o que tem de pessoas cuidando da minha vida, não é brincadeira. ",Frases Engraçadas
Sabe o que acontece quando você esfrega uma lâmpada embaixo d´água? Aparece um Hidrogênio. ,Frases Engraçadas
"-Mamãe,o que é um orgasmo? -Não sei meu filho, pergunte pro seu pai. ",Frases Engraçadas
"A risada é o melhor remédio, mas se você está dando risada sem nenhum motivo, talvez você esteja precisando tomar outro tipo de remédio.",Frases Engraçadas
"É muito triste quando se é rico, bonito e sensual e aí vem o despertador e acaba com tudo. ",Frases Engraçadas
Não é que eu tenha medo de morrer. Só não quero estar lá quando isso acontecer. ,Frases Engraçadas
Fórmula para não faltar madeira no mundo: basta o Pinóquio virar político. (Jufras Menhal) ,Frases Engraçadas
As aparências enganam ... e em alguns casos assustam. ,Frases Engraçadas
"Li que fumar fazia mal, parei de fumar. Li que beber fazia mal, parei de beber. Li que fazer sexo fazia mal. Parei de ler. ",Frases Engraçadas
"Trabalhar nunca matou ninguém, mas ... pra que arriscar? ",Frases Engraçadas
Só não morro de preguiça porque tenho preguiça de morrer. ,Frases Engraçadas
"- Mãe, me disseram na escola que eu sou muito distraído. - Menino, presta atenção, eu não sou sua mãe. Sua casa é a do lado! ",Frases Engraçadas
"Os ursos polares adoram o frio. Os bipolares às vezes adoram, às vezes não... ",Frases Engraçadas
Herança é aquilo que os mortos deixam para que os vivos se matem. ,Frases Engraçadas
Dizem que todo mundo merece uma segunda chance. Acho que eu já ficaria satisfeito se me dessem a primeira. ,Frases Engraçadas
Quer ganhar milhões de seguidores? Cutuque uma colmeia de abelhas e saia correndo. ,Frases Engraçadas
"– Isso foi um relâmpago? – Não amigo, foi o Google Earth tirando foto da terra com flash. ",Frases Engraçadas
"Tô correndo atrás do prejuízo, mas parece que ele é Queniano. ",Frases Engraçadas
Malandro é o Canguru que já nasce com o Bolsa Família. ,Frases Engraçadas
"Antes de falar, ouça. Antes de agir, pense. Antes de desistir, tente. Antes de cagar, veja se tem papel. ",Frases Engraçadas
"Se você é feio, pobre, burro e, mesmo assim, tem um monte de mulher dando em cima de você, só tem uma explicação. Você mora embaixo de uma zona. ",Frases Engraçadas
"O sol nasce, a bicicleta anda, o gato mia e o urso panda. ",Frases Engraçadas
"Quando sua mulher fica grávida, todos alisam a barriga dela e dizem ""parabéns"". Mas ninguém apalpa seu saco e diz ""bom trabalho"". ",Frases Engraçadas
"Mãe, posso usar sutiã? -Não. -Por favor mãe. -Não. -Mas eu já tenho 15 anos mãe. -Já disse que não Paulo André. ",Frases Engraçadas
"Percebi que a bebida exalta a minha beleza. Sempre que minha mulher me vê bêbado ela diz: ""Bonito, hein!"" ",Frases Engraçadas
"Estudos mostram que 1 em cada 4 pessoas tem alguma deficiência mental. Fique de olho em três dos seus amigos. Se eles parecerem normais, o retardado é você! ",Frases Engraçadas
"Viva cada dia como se fosse o último, um dia você acerta. ",Frases Engraçadas
"Quem dá aos pobres, tem que pagar o motel. ",Frases Engraçadas
O cara era tão magro que o chuveiro dele só tinha um furo! ,Frases Engraçadas
"Se o Xororó fosse dono de uma sorveteria, nela teria uma sobremesa chamada Sundae Junior. ",Frases Engraçadas
Amor não é uma coisa que mexe por dentro e deixa marcas quando passa. O nome disso é diarréia. ,Frases Engraçadas
Tô mais perdido que o Tiririca lendo a enciclopédia! ,Frases Engraçadas
Tempos difíceis sempre irão revelar amigos verdadeiros. ,Frases de Amizade
"As crises não afastam os amigos, apenas os selecionam. (Augusto Cury) ",Frases de Amizade
"Ser amigo é interpretar olhares, entender silêncios, ter compreensão, perdoar os erros, guardar segredos, prevenir quedas e secar lágrimas. ",Frases de Amizade
A amizade é um amor que nunca morre. (Mário Quintana) ,Frases de Amizade
"Amizade verdadeira não é ser inseparável. É estar separado, mas nada mudar. ",Frases de Amizade
"Mesmo que as pessoas mudem e suas vidas se reorganizem, os amigos devem ser amigos para sempre. (Vinícius de Moraes) ",Frases de Amizade
Um bom amigo conhece suas melhores histórias. O melhor amigo viveu todas elas ao seu lado. ,Frases de Amizade
"Sim, eu tenho aquela amizade que não trocaria por nada nem ninguém. ",Frases de Amizade
"Se você tem amigos de verdade, as dificuldades da vida já não pesam tanto. (Jufras Menhal) ",Frases de Amizade
"Um irmão pode não ser um amigo, mas um amigo será sempre um irmão. (Benjamin Franklin) ",Frases de Amizade
"Antes de querer derrubar um inimigo, aprenda a levantar um amigo. ",Frases de Amizade
"Quem caminha sozinho pode até chegar mas rápido, mas aquele que vai acompanhado dos amigos, com certeza vai mais longe. ",Frases de Amizade
A melhor parte da vida de uma pessoa está nas suas amizades. (Abraham Lincoln) ,Frases de Amizade
A melhor maneira de se achar um verdadeiro amigo é sendo um. ,Frases de Amizade
"Quem ama não vê defeitos, quem odeia não vê qualidades. E quem é amigo vê as duas coisas. ",Frases de Amizade
Todas as riquezas do mundo não valem um bom amigo. (Voltaire) ,Frases de Amizade
"Quando pensar nos seus patrimônios, nãe se esqueça de um dos mais importantes: Suas Amizades! ",Frases de Amizade
Um verdadeiro amigo é alguém que pega a sua mão e toca o seu coração. (Gabriel García Márquez) ,Frases de Amizade
"Um amor pode morrer na verdade, a amizade na mentira. (Abel Bonnard) ",Frases de Amizade
"Uma amizade não tem que ser perfeita, mas sim verdadeira. ",Frases de Amizade
"Amigo de verdade não é aquele que diz ""Vá em frente"", mas sim aquele que diz ""Eu vou junto"". ",Frases de Amizade
Amizade é sentir-se perto mesmo quando se está longe. ,Frases de Amizade
Os verdadeiros amigos são como as estrelas no céu. Eles são mais claros nos tempos de escuridão. ,Frases de Amizade
"Que a nossa amizade seja separada por vírgulas, mas nunca por um ponto final. ",Frases de Amizade
"Amigos: com eles você faz as maiores loucuras, paga os maiores micos e tem os melhores momentos da sua vida. ",Frases de Amizade
"Amizade, palavra que designa vários sentimentos que não podem ser trocados por meras coisas materiais. Deve ser guardada e conservada no coração. ",Frases de Amizade
Um verdadeiro amigo é aquele que entra quando o resto do mundo sai. (Walter Winchell) ,Frases de Amizade
"Muitos se queixam da falta de amigos, mas raros são os que se preocupam em cultivá-los. ",Frases de Amizade
"O amigo deve ser como o dinheiro, cujo valor já conhecemos antes de termos necessidade dele. (Sócrates) ",Frases de Amizade
A amizade é um meio de nos isolarmos da humanidade cultivando algumas pessoas. (Carlos Drummond de Andrade) ,Frases de Amizade
É preciso que as diferenças não diminuam a amizade e que a amizade não diminua as diferenças. (Simone Weil) ,Frases de Amizade
A amizade é o amor sem asas. (George Lord Byron) ,Frases de Amizade
"A amizade, às vezes, tem um valor incalculável para umas pessoas, mas para outras, tem apenas um valor. Valor este que só existe quando se precisa desse amigo. (Eça de Queiroz) ",Frases de Amizade
"Não é amigo aquele que alardeia a amizade: é traficante; a amizade sente-se, não se diz. (Machado de Assis) ",Frases de Amizade
"Amizade é: saber amar, saber compreender, saber compadecer-se, saber dizer sim, saber dizer não. (Arnaldo Antunes) ",Frases de Amizade
"Amizade, casamento de dois seres que não podem dormir juntos. (Jules Renard) ",Frases de Amizade
A infelicidade tem isto de bom: faz-nos conhecer os verdadeiros amigos. (Honoré de Balzac) ,Frases de Amizade
A amizade não precisa de palavras - é a solidão sem a angústia da solidão. (Dag Hammarkskjod) ,Frases de Amizade
"A felicidade de um amigo deleita-nos. Enriquece-nos. Não nos tira nada. Caso a amizade sofra com isso, é porque não existe. (Jean Cocteau) ",Frases de Amizade
"A melhor maneira de começar uma amizade é com uma boa gargalhada. De terminar com ela, também. (Oscar Wilde) ",Frases de Amizade
"Quem tem um amigo, mesmo que um só, não importa onde se encontre, jamais sofrerá de solidão. Poderá morrer de saudades, mas não estará só. (Amyr Klink) ",Frases de Amizade
"O amor é cego, a amizade fecha os olhos. (Blaise Pascal) ",Frases de Amizade
Olho para o tempo de nossa amizade e de repente nem me importo que os meus dias já contem tanto tempo assim. (Augusto Branco) ,Frases de Amizade
"Amigo é a pessoa que sabe tudo sobre você, e ainda assim gosta de você. (Elbert Hubbard) ",Frases de Amizade
A única maneira de ter um amigo é sendo um. (Ralph Waldo Emerson) ,Frases de Amizade
"A amizade começa quando, estando juntas, duas pessoas podem permanecer em silêncio sem se sentir constrangidas. (Tyson Gentry) ",Frases de Amizade
"Para conhecermos os amigos é necessário passar pelo sucesso e pela desgraça. No sucesso, verificamos a quantidade e, na desgraça, a qualidade. (Confúcio) ",Frases de Amizade
